Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ViewProfile Positivecase,Chrome 126.0.0.0,,,2024-06-18 17:48:25,2024-06-18 17:49:52,1m - 27.641s,FAILED
,,,,,,,
Test Cases/MAIN/WebSupport/ViewProfile byMSISN,Chrome 126.0.0.0,,,2024-06-18 17:49:46,2024-06-18 17:49:47,1.198s,FAILED
"click(findTestObject(""Comet/mainMenu"", [""txt"":""Customer Support""]))",Chrome 126.0.0.0,,,2024-06-18 17:49:46,2024-06-18 17:49:47,1.151s,FAILED
,,,,,,,
Test Cases/MAIN/WebSupport/ViewProfile byNIK,Chrome 126.0.0.0,,,2024-06-18 17:49:51,2024-06-18 17:49:52,1.169s,FAILED
"click(findTestObject(""Comet/mainMenu"", [""txt"":""Customer Support""]))",Chrome 126.0.0.0,,,2024-06-18 17:49:51,2024-06-18 17:49:52,1.122s,FAILED
